;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV54;Aamjiwnaang;;;;;;;;;;;;x
PROV143;Towosahgy;;;;;;;;;;;;x
PROV151;Eahshawapata;;;;;;;;;;;;x
PROV152;Ouscaloosa;;;;;;;;;;;;x
PROV154;Mni Wakan;;;;;;;;;;;;x
PROV164;Kaskaskia;;;;;;;;;;;;x
PROV165;Peewaareewa;;;;;;;;;;;;x
PROV166;Mengakoukia;;;;;;;;;;;;x
PROV167;Cahokia;;;;;;;;;;;;x
PROV168;Michigamea;;;;;;;;;;;;x
PROV169;Wapahani;;;;;;;;;;;;x
PROV170;Kethtippecanoogi;;;;;;;;;;;;x
PROV172;Kekionga;;;;;;;;;;;;x
PROV173;Wahnabezee;;;;;;;;;;;;x
PROV178;Cuyohaga;;;;;;;;;;;;x
PROV179;Mingwe;;;;;;;;;;;;x
PROV180;Saundustee;;;;;;;;;;;;x
PROV181;Pinkwaawileniaki;;;;;;;;;;;;x
PROV182;Chalakatha;;;;;;;;;;;;x
PROV183;Koshkoshkung;;;;;;;;;;;;x
PROV184;Tywhapita;;;;;;;;;;;;x
PROV185;Chalahgawtha;;;;;;;;;;;;x
PROV186;Eskippakaithiki;;;;;;;;;;;;x
PROV187;Intatchkalgi;;;;;;;;;;;;x
PROV188;Talwaahassi;;;;;;;;;;;;x
PROV189;Chucalissa;;;;;;;;;;;;x
PROV190;Toskegee;;;;;;;;;;;;x
PROV191;Chatotonoogee;;;;;;;;;;;;x
PROV193;Ogoula Tchetoka;;;;;;;;;;;;x
PROV195;Tokepahce;;;;;;;;;;;;x
PROV201;Pakanahuili;;;;;;;;;;;;x
PROV217;Allegewi;;;;;;;;;;;;x
PROV218;Weelunk;;;;;;;;;;;;x
PROV227;Menaonkihela;;;;;;;;;;;;x
